StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q65_Browser,Q65_Version,Q65_Operating System,Q65_Resolution,1_importance,1_newsworthy,1_familiarity,1_observedFrequency,1_desiredFrequency,2_importance,2_newsworthy,2_familiarity,2_observedFrequency,2_desiredFrequency,3_importance,3_newsworthy,3_familiarity,3_observedFrequency,3_desiredFrequency,4_importance,4_newsworthy,4_familiarity,4_observedFrequency,4_desiredFrequency,5_importance,5_newsworthy,5_familiarity,5_observedFrequency,5_desiredFrequency,6_importance,6_newsworthy,6_familiarity,6_observedFrequency,6_desiredFrequency,7_importance,7_newsworthy,7_familiarity,7_observedFrequency,7_desiredFrequency,8_importance,8_newsworthy,8_familiarity,8_observedFrequency,8_desiredFrequency,9_importance,9_newsworthy,9_familiarity,9_observedFrequency,9_desiredFrequency,10_importance,10_newsworthy,10_familiarity,10_observedFrequency,10_desiredFrequency,11_importance,11_newsworthy,11_familiarity,11_observedFrequency,11_desiredFrequency,12_importance,12_newsworthy,12_familiarity,12_observedFrequency,12_desiredFrequency,13_importance,13_newsworthy,13_familiarity,13_observedFrequency,13_desiredFrequency,14_importance,14_newsworthy,14_familiarity,14_observedFrequency,14_desiredFrequency,15_importance,15_newsworthy,15_familiarity,15_observedFrequency,15_desiredFrequency,16_importance,16_newsworthy,16_familiarity,16_observedFrequency,16_desiredFrequency,17_importance,17_newsworthy,17_familiarity,17_observedFrequency,17_desiredFrequency,18_importance,18_newsworthy,18_familiarity,18_observedFrequency,18_desiredFrequency,19_importance,19_newsworthy,19_familiarity,19_observedFrequency,19_desiredFrequency,20_importance,20_newsworthy,20_familiarity,20_observedFrequency,20_desiredFrequency,21_importance,21_newsworthy,21_familiarity,21_observedFrequency,21_desiredFrequency,22_importance,22_newsworthy,22_familiarity,22_observedFrequency,22_desiredFrequency,23_importance,23_newsworthy,23_familiarity,23_observedFrequency,23_desiredFrequency,24_importance,24_newsworthy,24_familiarity,24_observedFrequency,24_desiredFrequency,25_importance,25_newsworthy,25_familiarity,25_observedFrequency,25_desiredFrequency,26_importance,26_newsworthy,26_familiarity,26_observedFrequency,26_desiredFrequency,27_importance,27_newsworthy,27_familiarity,27_observedFrequency,27_desiredFrequency,28_importance,28_newsworthy,28_familiarity,28_observedFrequency,28_desiredFrequency,Age,Gender,Gender_6_TEXT,Education,Income,Ethnicity,Ethnicity_6_TEXT,god,Random,Google,Comments,Length,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,endloop
2022-08-02 18:46:57,2022-08-02 18:50:36,IP Address,73.98.105.77,100,218,True,2022-08-02 18:50:36,R_sMtnUtdR5c83Ihb,"","","","",34.7814,-106.714,anonymous,EN,Chrome,103.0.5060.134,Windows NT 10.0,1920x1080,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Little,About one per week,"Less news about """"${lm://Field/1}""""",High Importance,High newsworthiness,Know a Little,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Know a Fair Amount,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""",No importance,No newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",31,Male,"",High school graduate (high school diploma or equivalent including GED),"$50,000 to $59,999",White/Caucasian,"",Not at all   0,No,No,I have no comments.,about 5 minutes,"","","","","","","","","","",0
2022-08-02 18:48:18,2022-08-02 18:50:40,IP Address,204.10.131.64,100,141,True,2022-08-02 18:50:40,R_2wtSrwXRKpM2CTu,"","","","",36.7765,-88.7921,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1366x768,"","","","","",High Importance,High newsworthiness,Know a Little,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,High newsworthiness,Know a Fair Amount,About one every other week,"The same amount of news about """"${lm://Field/1}""""",Low importance,Low newsworthiness,Know a Fair Amount,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",33,Male,"",Some college but no degree,"$50,000 to $59,999",White/Caucasian,"",3,No,No,great survey ,4 minutes ,"","","","","","","","","","",0
2022-08-02 18:47:33,2022-08-02 18:51:03,IP Address,47.184.98.103,100,209,True,2022-08-02 18:51:03,R_2bD6De4asS6rbmV,"","","","",33.238,-97.1134,anonymous,EN,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,Very high importance,Very high newsworthiness,Know It Well,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",43,Female,"",Master's degree,"$100,000 to $149,999",White/Caucasian,"",4,No,No,"",3:30 min,"","","","","","","","","","",0
2022-08-02 18:46:27,2022-08-02 18:51:03,IP Address,65.141.198.90,100,275,True,2022-08-02 18:51:03,R_336YKQI4NC8VsJg,"","","","",33.5401,-112.3161,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very low importance,Very low newsworthiness,Heard of It,About one every other week,"Less news about """"${lm://Field/1}""""","","","","","",High Importance,High newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know a Little,About one every other week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","",Low importance,Low newsworthiness,Know a Little,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","",39,Male,"",Some college but no degree,"$30,000 to $39,999",White/Caucasian,"",Not at all   0,No,No,"","","","","","","","","","","","",0
2022-08-02 18:48:39,2022-08-02 18:51:21,IP Address,100.33.237.104,100,161,True,2022-08-02 18:51:21,R_2BbdgpOtTHaIzxm,"","","","",40.7041,-73.6184,anonymous,EN,Chrome,103.0.0.0,Macintosh,1680x1050,"","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know It Well,A few times a week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Little,Just once or twice this month,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""",Very high importance,Very high newsworthiness,Know It Well,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",27,Female,"",Associate degree in college (2-year),"$70,000 to $79,999",White/Caucasian,"",Very Much   7,No,No,"",3 minutes,"","","","","","","","","","",0
2022-08-02 18:48:27,2022-08-02 18:51:27,IP Address,76.26.87.87,100,179,True,2022-08-02 18:51:28,R_1rlECziYr0RwhIm,"","","","",38.412,-82.3698,anonymous,EN,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Fair Amount,About one per week,"The same amount of news about """"${lm://Field/1}""""",Low importance,Low newsworthiness,Know a Fair Amount,None at all this month,"Less news about """"${lm://Field/1}""""",Low importance,Low newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",Low importance,Low newsworthiness,Never Heard of It,None at all this month,"More news about """"${lm://Field/1}""""",32,Female,"",High school graduate (high school diploma or equivalent including GED),"Less than $10,000",White/Caucasian,"",5,No,No,"",I'm not sure. I didn't check the time. Maybe 5 or 10 minutes?.,"","","","","","","","","","",0
2022-08-02 18:49:56,2022-08-02 18:51:46,IP Address,172.113.41.11,100,109,True,2022-08-02 18:51:46,R_1nO3bwP9cIXrDYL,"","","","",34.0767,-118.1802,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,"","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""",Very low importance,Very low newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",30,Male,"",Bachelor's degree in college (4-year),"$70,000 to $79,999",Asian,"",Not at all   0,No,No,"",3-4 min,"","","","","","","","","","",0
2022-08-02 18:50:00,2022-08-02 18:51:47,IP Address,173.24.4.200,100,106,True,2022-08-02 18:51:47,R_3n3sAM30awEQYmI,"","","","",41.302,-90.4943,anonymous,EN,Chrome,93.0.4577.95,CrOS x86_64 14092.66.0,1536x864,No importance,No newsworthiness,Know It Well,Multiple times daily,"Less news about """"${lm://Field/1}""""","","","","","",Very high importance,Very high newsworthiness,Know It Well,A few times a week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,About one per week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Know a Little,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",37,Male,"",Associate degree in college (2-year),"$90,000 to $99,999",White/Caucasian,"",Very Much   7,No,No,"","","","","","","","","","","","",0
2022-08-02 18:50:09,2022-08-02 18:51:48,IP Address,73.41.212.11,100,99,True,2022-08-02 18:51:48,R_RKaYHzd8kqHKtcB,"","","","",38.768,-121.3349,anonymous,EN,Chrome,103.0.0.0,Macintosh,1280x800,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","",Some Importance,Some newsworthiness,Know a Little,About one every other week,"The same amount of news about """"${lm://Field/1}""""",Low importance,Low newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",31,Male,"",Bachelor's degree in college (4-year),"$30,000 to $39,999",Asian,"",4,No,No,"","","","","","","","","","","","",0
2022-08-02 18:48:58,2022-08-02 18:51:51,IP Address,172.226.169.53,100,172,True,2022-08-02 18:51:51,R_ZeM17uoqfBSaEb7,"","","","",35.2316,-80.8428,anonymous,EN,Safari iPhone,15.6,iPhone,428x926,High Importance,High newsworthiness,Know a Little,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",Some Importance,Some newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",37,Female,"",Bachelor's degree in college (4-year),"$70,000 to $79,999",White/Caucasian,"",Very Much   7,No,No,"",5 minutes,"","","","","","","","","","",0
2022-08-02 18:48:56,2022-08-02 18:51:53,IP Address,97.83.0.226,100,176,True,2022-08-02 18:51:53,R_3DpT8fGctCvf9wt,"","","","",44.8165,-85.5808,anonymous,EN,Chrome,102.0.5005.164,Android 9,962x601,"","","","","",Very high importance,Very high newsworthiness,Know It Well,Multiple times daily,"The same amount of news about """"${lm://Field/1}""""",Very high importance,Very high newsworthiness,Know It Well,Multiple times daily,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know a Fair Amount,Daily,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,Very low newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",36,Male,"",Master's degree,"$90,000 to $99,999",White/Caucasian,"",5,No,No,"","","","","","","","","","","","",0
2022-08-02 18:48:50,2022-08-02 18:51:56,IP Address,24.140.179.151,100,186,True,2022-08-02 18:51:57,R_3L528XqP54rLZi8,"","","","",40.8859,-81.5734,anonymous,EN,Firefox,103.0,Windows NT 10.0,1920x1080,Low importance,Low newsworthiness,Know a Fair Amount,Multiple times daily,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know It Well,A few times a week,"Less news about """"${lm://Field/1}""""",Some Importance,Some newsworthiness,Heard of It,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,About one per week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",43,Male,"",Some college but no degree,"$30,000 to $39,999",White/Caucasian,"",Very Much   7,No,No,"",3:03,"","","","","","","","","","",0
2022-08-02 18:47:29,2022-08-02 18:52:04,IP Address,65.128.180.119,100,274,True,2022-08-02 18:52:05,R_27WlcgUX0SIfiib,"","","","",44.9548,-93.1551,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1213x682,"","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",Very low importance,Very low newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""",Some Importance,Some newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",73,Female,"","Professional degree (JD, MD)","$70,000 to $79,999",White/Caucasian,"",1,No,No,"",minute or two,"","","","","","","","","","",0
2022-08-02 18:49:24,2022-08-02 18:52:06,IP Address,66.91.121.221,100,161,True,2022-08-02 18:52:06,R_1eKs0ukxif2iVyp,"","","","",19.706,-155.0928,anonymous,EN,Chrome,103.0.5060.134,Windows NT 10.0,1920x1080,"","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","",Low importance,Low newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",31,Male,"",Associate degree in college (2-year),"$10,000 to $19,999","White/Caucasian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander","",Very Much   7,No,No,"","","","","","","","","","","","",0
2022-08-02 18:49:03,2022-08-02 18:52:08,IP Address,170.249.0.122,100,184,True,2022-08-02 18:52:08,R_VIjikTra93vbdZf,"","","","",46.5778,-87.4552,anonymous,EN,Edge,103.0.1264.77,Windows NT 10.0,1536x864,"","","","","","","","","","","","","","","",High Importance,High newsworthiness,Heard of It,A few times a week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Never Heard of It,None at all this month,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Very low importance,Very low newsworthiness,Know a Little,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Very low importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""",Some Importance,Some newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",50,Male,"",Master's degree,"$40,000 to $49,999",White/Caucasian,"",Not at all   0,No,No,"it was fine, thx",3 min,"","","","","","","","","","",0
2022-08-02 18:46:52,2022-08-02 18:52:09,IP Address,174.23.141.96,100,317,True,2022-08-02 18:52:10,R_2uwdPTbdpHOfZp8,"","","","",40.65,-112.0061,anonymous,EN,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,"","","","","",Some Importance,Some newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","",Some Importance,High newsworthiness,Know a Little,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Some newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","",35,Female,"",Bachelor's degree in college (4-year),"$60,000 to $69,999",White/Caucasian,"",5,No,No,No additional feedback to give.,It took me about 5 1/2 minutes.,"","","","","","","","","","",0
2022-08-02 18:47:28,2022-08-02 18:52:15,IP Address,108.203.120.120,100,287,True,2022-08-02 18:52:16,R_3Vppr7IRAzbPOLv,"","","","",35.2842,-80.8719,anonymous,EN,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1476x830,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know a Fair Amount,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,High newsworthiness,Know a Little,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","",Very low importance,Some newsworthiness,Know a Little,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Some Importance,High newsworthiness,Know a Fair Amount,None at all this month,"Less news about """"${lm://Field/1}""""",Very low importance,Low newsworthiness,Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",28,Female,"",Bachelor's degree in college (4-year),"$10,000 to $19,999",Black or African American,"",5,No,No,"",5 minutes,"","","","","","","","","","",0
2022-08-02 18:44:47,2022-08-02 18:52:18,IP Address,99.113.238.202,100,450,True,2022-08-02 18:52:19,R_D1P8FsNWSxsA6Xv,"","","","",41.1413,-81.3445,anonymous,EN,Edge,103.0.1264.44,Windows NT 10.0,1366x768,"","","","","","","","","","",High Importance,High newsworthiness,Know a Little,A few times a week,"More news about """"${lm://Field/1}""""",Some Importance,High newsworthiness,Know a Little,About one every other week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""",High Importance,High newsworthiness,Know a Little,Just once or twice this month,"More news about """"${lm://Field/1}""""","","","","","",High Importance,High newsworthiness,Know a Little,Daily,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",34,Female,"",Bachelor's degree in college (4-year),"$10,000 to $19,999","White/Caucasian,Asian,Native Hawaiian or Pacific Islander","",Not at all   0,No,No,"I know there are a lot of key topics I would like to see covered, but it's likely because they're not being taken care of in reality away from the news. The environment and humanity/living standards might have its own sort of section as a popular tab. ",About 7 minutes.,"","","","","","","","","","",0
2022-08-02 18:50:15,2022-08-02 18:52:33,IP Address,99.83.36.183,100,137,True,2022-08-02 18:52:33,R_22A0ptOipfCeh1M,"","","","",31.8378,-106.538,anonymous,EN,Edge,103.0.1264.77,Windows NT 10.0,1536x864,"","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Little,About one per week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Know a Fair Amount,A few times a week,"More news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Know a Little,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","",Very low importance,Some newsworthiness,Know a Fair Amount,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",22,Male,"",Some college but no degree,"$20,000 to $29,999",White/Caucasian,"",4,No,No,"","","","","","","","","","","","",0
2022-08-02 18:46:14,2022-08-02 18:52:36,IP Address,47.157.104.226,100,381,True,2022-08-02 18:52:36,R_Dw6dCmFsXa4QrVD,"","","","",34.4449,-117.5196,anonymous,EN,Edge,103.0.1264.77,Windows NT 10.0,1280x720,"","","","","","","","","","",High Importance,High newsworthiness,Know a Little,About one per week,"The same amount of news about """"${lm://Field/1}""""","","","","","",Low importance,Low newsworthiness,Know a Little,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","",High Importance,High newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,Some newsworthiness,Never Heard of It,None at all this month,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Some Importance,Some newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""",29,Male,"",High school graduate (high school diploma or equivalent including GED),"$10,000 to $19,999",American Indian or Alaska Native,"",6,No,No,"The survey was easy to understand, thank you for the opportunity to participate!",about 5 - 6 minutes,"","","","","","","","","","",0
2022-08-02 18:46:53,2022-08-02 18:52:51,IP Address,69.76.169.15,100,358,True,2022-08-02 18:52:52,R_1CCnQe4nti8wjPX,"","","","",38.9592,-94.5961,anonymous,EN,Chrome,103.0.0.0,Windows NT 10.0,1366x768,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",High Importance,High newsworthiness,Heard of It,None at all this month,"More news about """"${lm://Field/1}""""","","","","","",High Importance,High newsworthiness,Know a Fair Amount,About one every other week,"More news about """"${lm://Field/1}""""","","","","","",High Importance,Some newsworthiness,Never Heard of It,About one every other week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know a Little,About one per week,"Less news about """"${lm://Field/1}""""","","","","","",Low importance,Low newsworthiness,Heard of It,A few times a week,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",34,Transgender Male,"",Bachelor's degree in college (4-year),"$10,000 to $19,999",White/Caucasian,"",2,No,No,"",5 minutes,"","","","","","","","","","",0
2022-08-02 18:49:37,2022-08-02 18:52:52,IP Address,174.202.44.231,100,194,True,2022-08-02 18:52:52,R_2338QxdvgqcqUFR,"","","","",39.7764,-86.1077,anonymous,EN,Chrome,103.0.5060.134,Windows NT 10.0,1920x1080,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Very high importance,Very high newsworthiness,Know It Well,A few times a week,"The same amount of news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","",Low importance,Low newsworthiness,Know It Well,Just once or twice this month,"Less news about """"${lm://Field/1}""""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",No importance,No newsworthiness,Heard of It,Just once or twice this month,"The same amount of news about """"${lm://Field/1}""""",No importance,No newsworthiness,Know a Fair Amount,None at all this month,"Less news about """"${lm://Field/1}""""",No importance,No newsworthiness,Never Heard of It,None at all this month,"Less news about """"${lm://Field/1}""""","","","","","",36,Male,"",High school graduate (high school diploma or equivalent including GED),"$20,000 to $29,999",White/Caucasian,"",Very Much   7,No,No,thanks,about 4 minutes,"","","","","","","","","","",0
